name,"genres","popularity","followers.total"
Taylor Swift,"pop, country, rock",96,42113045
Lana Del Rey,"art pop, pop",87,13663019
Halsey,"dance pop, electropop, pop",88,15634336
Khalid,"pop",91,14177961
Demi Lovato,"dance pop, pop",86,20310442
Chase Atlantic,"modern rock, pop",81,1455949
The Lumineers,"folk-pop, modern rock, pop rock",80,4359462
Tove Lo,"dance pop, electropop, pop, pop rap",80,2805926
Dua Lipa,"dance pop, pop, uk pop",94,27065931
FLETCHER,"dance pop, electropop, indie pop, pop",73,476884
Sasha Alex Sloan,"electropop, indie pop, pop",77,918837
Kehlani,"dance pop, pop, pop rap, r&b",82,4881952
The Weeknd,"r&b, pop",96,35201592
Anne-Marie,"dance pop, pop, pop dance, uk pop",85,8131108
Ellie Goulding,"dance pop, electropop, pop, uk pop",82,9731237
tha Supreme,"italian hip hop, italian pop, trap italiana",73,1423456
Rita Ora,"electropop, pop, pop rap, uk pop",80,6773667
Lorde,"art pop, dance pop, electropop, pop",83,8067682
Labrinth,"indie pop, pop",83,1681595
Billie Eilish,"electropop, pop",96,46870153
Ariana Grande,"dance pop, pop",95,67008601
Avril Lavigne,"dance pop, pop",80,7557940
Lauv,"dance pop, electropop, pop",83,4433951
Vasco Rossi,"classic italian pop, italian adult pop",70,2332364
Sleeping At Last,"ambient worship, pop, pop rock",75,1111064
Lauren Jauregui,"pop, r&b",63,1049177
Zara Larsson,"dance pop, electropop, pop, pop dance",81,9037388
Marracash,"italian hip hop, italian pop, rap",74,1382979
Alessia Cara,"r&b, dance pop, electropop, pop",80,9169752
Olivia Rodrigo,"pop",98,6126361
Ed Sheeran,"pop, uk pop",95,83165743
blink-182,"pop punk, punk, socal pop punk",81,6591435
ARIETE,"italian indie pop, r&b italiano, rome indie",70,174697
HAIM,"art pop, dance pop, indie pop, pop rock",72,1105296
Julia Michaels,"dance pop, electropop, pop",83,3999863
Katy Perry,"dance pop, pop",87,18904315
Hayley Kiyoko,"dance pop, electropop, modern rock, pop",68,1463751
ZAYN,"dance pop, pop, uk pop",83,16609336
G-Eazy,"hip hop, indie pop rap, pop rap, rap",84,4892032
Genesis,"classic rock",72,2399955
Charli XCX,"art pop,  dance pop, electropop, pop, uk pop",78,2377894
Gemitaiz,"italian hip hop",73,1751951
Gazzelle,"italian indie pop, italian pop, rome indie",71,513337
Shawn Mendes,"dance pop, pop",89,33836145
Unloved,"alternative, metal",44,30833
Calvin Harris,"dance pop, edm, electro house, house, pop, uk dance",89,21931949
Clean Bandit,"dance pop, edm, pop, pop dance",81,4426542
Calcutta ,"italian indie pop, rome indie",63,536514
