"name","genres","popularity","followers.total"
"Taylor Swift","pop, post-teen pop",96,42113045
"Lorde","art pop, dance pop, electropop, metropopolis, nz pop, pop, post-teen pop",83,8067682
"Sasha Alex Sloan","alt z, electropop, indie cafe pop, pop, post-teen pop",77,918837
"Olivia Rodrigo","pop",98,6126361
"Tove Lo","dance pop, electropop, metropopolis, pop, pop rap, post-teen pop, swedish electropop, swedish pop, swedish synthpop",80,2805926
"Lana Del Rey","art pop, pop",87,13663019
"Anne-Marie","dance pop, pop, pop dance, post-teen pop, tropical house, uk pop",85,8131108
"Chase Atlantic","modern rock, pop",81,1455949
"Avril Lavigne","canadian pop, candy pop, dance pop, pop, post-teen pop",80,7557940
"HAIM","art pop, dance pop, indie pop, metropopolis, pop rock",72,1105296
"Billie Eilish","electropop, pop",96,46870153
"Demi Lovato","dance pop, pop, post-teen pop",86,20310442
"Dua Lipa","dance pop, pop, uk pop",94,27065931
"Sleeping At Last","ambient worship, chamber pop, pop, pop rock",75,1111064
"FLETCHER","alt z, dance pop, electropop, indie cafe pop, indie poptimism, pop, post-teen pop, social media pop",73,476884
"The Weeknd","canadian contemporary r&b, canadian pop, pop",96,35201592
"Halsey","dance pop, electropop, etherpop, indie poptimism, pop, post-teen pop",88,15634336
"Rita Ora","dance pop, edm, electropop, pop, pop rap, post-teen pop, tropical house, uk pop",80,6773667
"blink-182","pop punk, punk, socal pop punk",81,6591435
"Khalid","pop",91,14177961
